A,First letter
Falcon,"One of a family (Falconidae) of raptorial birds, characterized by a short, hooked beak, strong claws, and powerful flight."
Falsify,"To baffle or escape; as, to falsify a blow."
Falsify,"To show, in accounting, (an inem of charge inserted in an account) to be wrong."
Famble,To stammer.
Fancywork,"Ornamental work with a needle or hook, as embroidery, crocheting, netting, etc."
Fanion,A small flag sometimes carried at the head of the baggage of a brigade.
Fanion,A small flag for marking the stations in surveying.
Fantasticco,A fantastic.
Fascial,Pertaining to the fasces.
Fasten,"To cause to hold together or to something else; to attach or unite firmly; to cause to cleave to something , or to cleave together, by any means; as, to fasten boards together with nails or cords; to fasten anything in our thoughts."
Fastness,Conciseness of style.
Faulting,of Fault
Faultily,In a faulty manner.
Faulty,"Containing faults, blemishes, or defects; imperfect; not fit for the use intended."
Favor,"To regard with kindness; to support; to aid, or to have the disposition to aid, or to wish success to; to be propitious to; to countenance; to treat with consideration or tenderness; to show partiality or unfair bias towards."
Favoredly,In a favored or a favorable manner; favorably.
Fear,"Apprehension of incurring, or solicitude to avoid, God's wrath; the trembling and awful reverence felt toward the Supreme Belng."
Feasible,"Capable of being done, executed, or effected; practicable."
Feat,"A striking act of strength, skill, or cunning; a trick; as, feats of horsemanship, or of dexterity."
Feature,"The make, cast, or appearance of the human face, and especially of any single part of the face; a lineament. (pl.) The face, the countenance."
Federalized,of Federalize
Feetless,"Destitute of feet; as, feetless birds."
Fele,Many.
Fell,"The end of a web, formed by the last thread of the weft."
Fellahs,of Fellah
Femora,of Femur
Fenestrae,of Fenestra
Fet,A piece.
Fetch,To bring or get within reach by going; to reach; to arrive at; to attain; to reach by sailing.
Feudary,"Held by, or pertaining to, feudal tenure."
Fiance,A betrothed man.
Fibula,A needle for sewing up wounds.
Fifteen,Five and ten; one more than fourteen.
Figgum,A juggler's trick; conjuring.
Figure,"A pattern in cloth, paper, or other manufactured article; a design wrought out in a fabric; as, the muslin was of a pretty figure."
Figure,To embellish with design; to adorn with figures.
Fimbriating,of Fimbriate
Fimbricate,"fringed, on one side only, by long, straight hairs, as the antennae of certain insects."
Fin,End; conclusion; object.
Finedrawing,of Finedraw
Fining,"That which is used to refine; especially, a preparation of isinglass, gelatin, etc., for clarifying beer."
Fire,To be irritated or inflamed with passion.
Firedog,A support for wood in a fireplace; an andiron.
Firmament,Fixed foundation; established basis.
Fishy,Consisting of fish; fishlike; having the qualities or taste of fish; abounding in fish.
Fissural,"Pertaining to a fissure or fissures; as, the fissural pattern of a brain."
Flagging,"A pavement or sidewalk of flagstones; flagstones, collectively."
Flakiness,The state of being flaky.
Flatus,of Flatus
Flaw,A sudden burst of noise and disorder; a tumult; uproar; a quarrel.
Fleck,A spot; a streak; a speckle.
Fleeted,of Fleet
Fletched,of Fletch
Flight,"A number of beings or things passing through the air together; especially, a flock of birds flying in company; the birds that fly or migrate together; the birds produced in one season; as, a flight of arrows."
Flitter,A rag; a tatter; a small piece or fragment.
Flocculus,"A small lobe in the under surface of the cerebellum, near the middle peduncle; the subpeduncular lobe."
Flockly,In flocks; in crowds.
Flong,imp. &amp; p. p. of Fling.
Flow,"Any gentle, gradual movement or procedure of thought, diction, music, or the like, resembling the quiet, steady movement of a river; a stream."
Flower,"To froth; to ferment gently, as new beer."
Fluctuant,Moving like a wave; wavering
Fluctuant,Floating on the waves.
Fluocerite,"A fluoride of cerium, occuring near Fahlun in Sweden. Tynosite, from Colorado, is probably the same mineral."
Flush,To excite; to animate; to stir.
Flushness,The state of being flush; abundance.
Flute,"A similar channel or groove made in wood or other material, esp. in plaited cloth, as in a lady's ruffle."
Flutist,To be in agitation; to move irregularly; to flucttuate; to be uncertainty.
Flux,To cause to become fluid; to fuse.
Flown,of Fly
Flyspeck,"A speck or stain made by the excrement of a fly; hence, any insignificant dot."
Fodient,One of the Fodientia.
Foliate,"Furnished with leaves; leafy; as, a foliate stalk."
Foliosity,The ponderousness or bulk of a folio; voluminousness.
Folly,A foolish act; an inconsiderate or thoughtless procedure; weak or light-minded conduct; foolery.
Foolishly,In a foolish manner.
Foramen,"A small opening, perforation, or orifice; a fenestra."
Forceps,The caudal forceps-shaped appendage of earwigs and some other insects. See Earwig.
Forebear,An ancestor. See Forbear.
Foreboding,Presage of coming ill; expectation of misfortune.
Forehead,The front or fore part of anything.
Foreseize,To seize beforehand.
Foreteller,One who predicts.
Forewomen,of Forewoman
Forfeit,Injury; wrong; mischief.
Forfend,To prohibit; to forbid; to avert.
Forgetfully,In a forgetful manner.
Forging,The act of shaping metal by hammering or pressing.
Form,"To take a form, definite shape, or arrangement; as, the infantry should form in column."
Formalize,To affect formality.
Formative,"Serving to form; derivative; not radical; as, a termination merely formative."
Forray,The act of ravaging; a ravaging; a predatory excursion. See Foray.
Fortune,To presage; to tell the fortune of.
Foulness,The quality or condition of being foul.
Fountful,Full of fountains.
Fourhanded,Having four hands; quadrumanous.
Four-in-hand,"Consisting of four horses controlled by one person; as, a four-in-hand team; drawn by four horses driven by one person; as, a four-in-hand coach."
Fourling,A compound or twin crystal consisting of four individuals.
Fourteenth,"Next in order after the thirteenth; as, the fourteenth day of the month."
Fowling,of Fowl
Foxed,of Fox
Foxhound,One of a special breed of hounds used for chasing foxes.
Foxtail,"The name of several kinds of grass having a soft dense head of flowers, mostly the species of Alopecurus and Setaria."
Frame,To cause; to bring about; to produce.
Francolite,A variety of apatite from Wheal Franco in Devonshire.
Free,"Privileged or individual; the opposite of common; as, a free fishery; a free warren."
Freieslebenite,"A sulphide of antimony, lead, and silver, occuring in monoclinic crystals."
Fresnel lens,See under Lens.
Frickle,A bushel basket.
Frigate-built,Built like a frigate with a raised quarter-deck and forecastle.
Frigid,Wanting natural heat or vigor sufficient to excite the generative power; impotent.
Frist,"To sell upon credit, as goods."
Fritter,A fragment; a shred; a small piece.
Frory,Frozen; stiff with cold.
Frost,The act of freezing; -- applied chiefly to the congelation of water; congelation of fluids.
Frostweed,"An American species of rockrose (Helianthemum Canadense), sometimes used in medicine as an astringent or aromatic tonic."
Fructed,Bearing fruit; -- said of a tree or plant so represented upon an escutcheon.
Ery,"A state of excitement; as, to be in a fry."
Fub,To put off by trickery; to cheat.
Fugato,"in the gugue style, but not strictly like a fugue."
Fulgor,Dazzling brightness; splendor.
Fuliginosity,The condition or quality of being fuliginous; sootiness; matter deposited by smoke.
Full-blown,"Fully expanded, as a blossom; as, a full-bloun rose."
Fume,The incense of praise; inordinate flattery.
Function,Alt. of Functionate
Fungoid,Like a fungus; fungous; spongy.
Furniture,A mixed or compound stop in an organ; -- sometimes called mixture.
Fusil,"A bearing of a rhomboidal figure; -- named from its shape, which resembles that of a spindle."
Future,"That is to be or come hereafter; that will exist at any time after the present; as, the next moment is future, to the present."
Futurity,Event to come; a future event.
Galactic,"Of or pertaining to milk; got from milk; as, galactic acid."
Gallows,"A frame from which is suspended the rope with which criminals are executed by hanging, usually consisting of two upright posts and a crossbeam on the top; also, a like frame for suspending anything."
Galoche,Alt. of Galoshe
Galop,"A kind of lively dance, in 2-4 time; also, the music to the dance."
Gammon,To make bacon of; to salt and dry in smoke.
Garb,Clothing in general.
Garmenture,Clothing; dress.
Garnish,"Something set round or upon a dish as an embellishment. See Garnish, v. t., 2."
Garniture,That which garnishes; ornamental appendage; embellishment; furniture; dress.
Gastrocnemius,The muscle which makes the greater part of the calf of the leg.
Gastronomical,Pertaining to gastromony.
Gastronomy,The art or science of good eating; epicurism; the art of good cheer.
Gelatiniform,Having the form of gelatin.
Gendarmes,of Gendarme
General,"Not restrained or limited to a precise import; not specific; vague; indefinite; lax in signification; as, a loose and general expression."
Genitive,Of or pertaining to that case (as the second case of Latin and Greek nouns) which expresses source or possession.  It corresponds to the possessive case in English.
Gentile-falcon,See Falcon-gentil.
Gentilism,Hethenism; paganism; the worship of false gods.
Gently,In a gentle manner.
Genuflected,of Genuflect
Geocentric,Alt. of Geocentrical
Geodesic,A geodetic line or curve.
Geophagist,"One who eats earth, as dirt, clay, chalk, etc."
Geotropism,A disposition to turn or incline towards the earth; the influence of gravity in determining the direction of growth of an organ.
Ghostology,Ghost lore.
Gibbostity,The state of being gibbous or gibbose; gibbousness.
Gildale,A drinking bout in which every one pays an equal share.
Give,To attribute; to assign; to adjudge.
Give,To give a gift or gifts.
Glabrate,Becoming smooth or glabrous from age.
Glabrity,Smoothness; baldness.
Gladius,"The internal shell, or pen, of cephalopods like the squids."
Glaire,See Glair.
Glance,"To move quickly, appearing and disappearing rapidly; to be visible only for an instant at a time; to move interruptedly; to twinkle."
Glauberite,"A mineral, consisting of the sulphates of soda and lime."
Glazing,of Glase
Glidden,p. p. of Glide.
Gloat,"To look steadfastly; to gaze earnestly; -- usually in a bad sense, to gaze with malignant satisfaction, passionate desire, lust, or avarice."
Glory,To exult with joy; to rejoice.
Glow,"To feel the heat of passion; to be animated, as by intense love, zeal, anger, etc.; to rage, as passior; as, the heart glows with love, zeal, or patriotism."
Glow,To make hot; to flush.
Glutination,The act of uniting with glue; sticking together.
Gnash,"To strike together, as in anger or pain; as, to gnash the teeth."
Gnomically,"In a gnomic, didactic, or sententious manner."
Gobioid,"Like, or pertaining to, the goby, or the genus Gobius."
God-fearing,Having a reverential and loving feeling towards God; religious.
Godhood,Divine nature or essence; deity; godhead.
Godild,"A corruption of God yield, i. e., God reward or bless."
Goldseed,Dog's-tail grass.
Goniometer,"An instrument for measuring angles, especially the angles of crystals, or the inclination of planes."
Gore,"One of the abatements. It is made of two curved lines, meeting in an acute angle in the fesse point."
Gorgoniacea,"One of the principal divisions of Alcyonaria, including those forms which have a firm and usually branched axis, covered with a porous crust, or c/nenchyma, in which the polyp cells are situated."
Gossib,A gossip.
Gossiping,of Gossip
Goura,"One of several species of large, crested ground pigeons of the genus Goura, inhabiting New Guinea and adjacent islands. The Queen Victoria pigeon (Goura Victoria) and the crowned pigeon (G. coronata) are among the beat known species."
Grace,Fortune; luck; -- used commonly with hard or sorry when it means misfortune.
Graduate,"To prepare gradually; to arrange, temper, or modify by degrees or to a certain degree; to determine the degrees of; as, to graduate the heat of an oven."
Graft,"To insert (a graft) in a branch or stem of another tree; to propagate by insertion in another stock; also, to insert a graft upon."
Graminifolious,Bearing leaves resembling those of grass.
Graminivorous,"Feeding or subsisting on grass, and the like food; -- said of horses, cattle, and other animals."
Gramme machine,"A kind of dynamo-electric machine; -- so named from its French inventor, M. Gramme."
Granatin,Mannite; -- so called because found in the pomegranate.
Grandevity,Great age; long life.
Grandiloquent,Speaking in a lofty style; pompous; bombastic.
Grannam,A grandam.
Graphiscope,See Graphoscope.
Graspless,Without a grasp; relaxed.
Grass,"An endogenous plant having simple leaves, a stem generally jointed and tubular, the husks or glumes in pairs, and the seed single."
Grassless,Destitute of grass.
Grated,of Grate
Grating,of Grate
Grate,"To furnish with grates; to protect with a grating or crossbars; as, to grate a window."
Gravedigger,A digger of graves.
Gravelliness,State of being gravelly.
Gravity,Lowness of tone; -- opposed to acuteness.
Great,"More than ordinary in degree; very considerable in degree; as, to use great caution; to be in great pain."
Green,Any substance or pigment of a green color.
Grip,An energetic or tenacious grasp; a holding fast; strength in grasping.
Gripe,"Oppression; cruel exaction; affiction; pinching distress; as, the gripe of poverty."
Grise,A step (in a flight of stairs); a degree.
Grist,"In rope making, a given size of rope, common grist being a rope three inches in circumference, with twenty yarns in each of the three strands."
Gristly,"Consisting of, or containing, gristle; like gristle; cartilaginous."
Gritting,of Grit
Grivet,"A monkey of the upper Nile and Abyssinia (Cercopithecus griseo-viridis), having the upper parts dull green, the lower parts white, the hands, ears, and face black. It was known to the ancient Egyptians. Called also tota."
Groom,"To tend or care for, or to curry or clean, as a, horse."
Grossification,"The act of making gross or thick, or the state of becoming so."
Ground,"To run aground; to strike the bottom and remain fixed; as, the ship grounded on the bar."
Grown ,of Grow
Grub,To drudge; to do menial work.
Gruddger,One who grudges.
Grudgingly,In a grudging manner.
Grundel,A groundling (fish).
Gry,"Anything very small, or of little value."
Guardiance,Guardianship.
Guest,To receive or entertain hospitably.
Guide,"A person who leads or directs another in his way or course, as in a strange land; one who exhibits points of interest to strangers; a conductor; also, that which guides; a guidebook."
Gummy,Consisting of gum; viscous; adhesive; producing or containing gum; covered with gum or a substance resembling gum.
Gunnel,"A small, eel-shaped, marine fish of the genus Muraenoides; esp., M. gunnellus of Europe and America; -- called also gunnel fish, butterfish, rock eel."
Gurniad,See Gwiniad.
Gutta,"One of a series of ornaments, in the form of a frustum of a cone, attached to the lower part of the triglyphs, and also to the lower faces of the mutules, in the Doric order; -- called also campana, and drop."
Gymnical,Athletic; gymnastic.
Gyn,To begin [Obs.] See Gin.
Gyral,Moving in a circular path or way; whirling; gyratory.
Gyromancy,"A kind of divination performed by drawing a ring or circle, and walking in or around it."
Habilatory,Of or pertaining to clothing; wearing clothes.
Habilitation,Equipment; qualification.
Habited,Inhabited.
Haemato-,Alt. of Haemo-
Haemacyanin,"A substance found in the blood of the octopus, which gives to it its blue color."
Haemotachometry,Same as Haematachometry.
Hag,A fury; a she-monster.
Hail,"To pour down particles of ice, or frozen vapors."
Halfbeak,"Any slender, marine fish of the genus Hemirhamphus, having the upper jaw much shorter than the lower; -- called also balahoo."
Halfendeal,A half part.
Half-ray,"A straight line considered as drawn from a center to an indefinite distance in one direction, the complete ray being the whole line drawn to an indefinite distance in both directions."
Haliographer,One who writes about or describes the sea.
Halomancy,See Alomancy.
Halter,A rope for hanging malefactors; a noose.
Halving,of Halve
Hanch,See Hanse.
Handicapped,of Handicap
Handiwork,"Work done by the hands; hence, any work done personally."
Handygripe,"Seizure by, or grasp of, the hand; also, close quarters in fighting."
Hung,of Hang
Hang,"To suspend; to fasten to some elevated point without support from below; -- often used with up or out; as, to hang a coat on a hook; to hang up a sign; to hang out a banner."
Hanger,"A strap hung to the girdle, by which a dagger or sword is suspended."
Hanger,"That which hangs or is suspended, as a sword worn at the side; especially, in the 18th century, a short, curved sword."
Hansel,See Handsel.
Haphazard,Extra hazard; chance; accident; random.
Harlotry,Ribaldry; buffoonery; a ribald story.
Harmless,"Free from harm; unhurt; as, to give bond to save another harmless."
Harrower,One who harrows.
Harsh,disagreeable to the ear.
Harvest-home,The gathering and bringing home of the harvest; the time of harvest.
Hauerite,Native sulphide of manganese a reddish brown or brownish black mineral.
Haughty,Disdainfully or contemptuously proud; arrogant; overbearing.
Hazeless,Destitute of haze.
Headmen,of Headman
Headstrong,"Directed by ungovernable will, or proceeding from obstinacy."
Headstrongness,Obstinacy.
Hearing,of Hear
Hearing,Extent within which sound may be heard; sound; earshot.
Heave,"To rise and fall with alternate motions, as the lungs in heavy breathing, as waves in a heavy sea, as ships on the billows, as the earth when broken up by frost, etc.; to swell; to dilate; to expand; to distend; hence, to labor; to struggle."
Heavy-armed,Wearing heavy or complete armor; carrying heavy arms.
Hebdomadary,"A member of a chapter or convent, whose week it is to officiate in the choir, and perform other services, which, on extraordinary occasions, are performed by the superiors."
Hedge,"To inclose or separate with a hedge; to fence with a thickly set line or thicket of shrubs or small trees; as, to hedge a field or garden."
Hegelian,Pertaining to Hegelianism.
Height,Progress toward eminence; grade; degree.
Hellenistically,According to the Hellenistic manner or dialect.
Helm,A heavy cloud lying on the brow of a mountain.
Help,"A helper; one hired to help another; also, thew hole force of hired helpers in any business."
Hemadynamics,The principles of dynamics in their application to the blood; that part of science which treats of the motion of the blood.
Hemipteran,One of the Hemiptera; an hemipter.
Hemisected,of Hemisect
Hemistichal,"Pertaining to, or written in, hemistichs; also, by, or according to, hemistichs; as, a hemistichal division of a verse."
Hemoglobin,"The normal coloring matter of the red blood corpuscles of vertebrate animals. It is composed of hematin and globulin, and is also called haematoglobulin. In arterial blood, it is always combined with oxygen, and is then called oxyhemoglobin. It crystallizes under different forms from different animals, and when crystallized, is called haematocrystallin. See Blood crystal, under Blood."
Hemself,Alt. of Hemselven
Hendecasyllable,A metrical line of eleven syllables.
Heniquen,See Jeniquen.
Hepta,"A combining form from Gr. ""epta`, seven."
Heptine,"Any one of a series of unsaturated metameric hydrocarbons, C7H12, of the acetylene series."
Herdbook,"A book containing the list and pedigrees of one or more herds of choice breeds of cattle; -- also called herd record, or herd register."
Hereunto,Unto this; up to this time; hereto.
Heterogenesis,"Spontaneous generation, so called."
Hewn,"Roughly dressed as with a hammer; as, hewn stone."
Hexastichon,A poem consisting of six verses or lines.
Hexene,Same as Hexylene.
Hibernal,Belonging or relating to winter; wintry; winterish.
Hideous,"Distressing or offensive to the ear; exciting terror or dismay; as, a hideous noise."
Higgler,One who higgles.
High-flown,"Turgid; extravagant; bombastic; inflated; as, high-flown language."
High-flushed,Elated.
Higre,See Eagre.
Hobbyhorsical,"Pertaining to, or having, a hobby or whim; eccentric; whimsical."
Hobnail,A clownish person; a rustic.
Hoiden,To romp rudely or indecently.
Hoisted,of Hoist
Holiness,"The state of being hallowed, or consecrated to God or to his worship; sacredness."
Holla,Hollo.
Hollaed,of Holla
Homaging,of Homage
Homicide,One who kills another; a manslayer.
Homostyled,Having only one form of pistils; -- said of the flowers of some plants.
Honey,"To be gentle, agreeable, or coaxing; to talk fondly; to use endearments; also, to be or become obsequiously courteous or complimentary; to fawn."
Honorableness,"Conformity to the principles of honor, probity, or moral rectitude; fairness; uprightness; reputableness."
Hood,"A chimney top, often contrived to secure a constant draught by turning with the wind."
Hoop,To drive or follow with a shout.
Hoppet,"A hand basket; also, a dish used by miners for measuring ore."
Horsewoman,A woman who rides on horseback.
Hose,"Close-fitting trousers or breeches, as formerly worn, reaching to the knee."
Host,To lodge at an inn; to take up entertainment.
Hotel-de-ville,A city hall or townhouse.
Hound,A despicable person.
Hounding,The act of one who hounds.
Hound's-tongue,"A biennial weed (Cynoglossum officinale), with soft tongue-shaped leaves, and an offensive odor. It bears nutlets covered with barbed or hooked prickles. Called also dog's-tongue."
Housewright,A builder of houses.
Hulky,Bulky; unwiedly.
Hull,"To pierce the hull of, as a ship, with a cannon ball."
Humin,"A bitter, brownish yellow, amorphous substance, extracted from vegetable mold, and also produced by the action of acids on certain sugars and carbohydrates; -- called also humic acid, ulmin, gein, ulmic or geic acid, etc."
Hungarian,Of or pertaining to Hungary or to the people of Hungary.
Huntsman,The person whose office it is to manage the chase or to look after the hounds.
Hurricano,A waterspout; a hurricane.
Hurtle,To push; to jostle; to hurl.
Husked,Stripped of husks; deprived of husks.
Hybridizing,of Hybridize
Hydrocarburet,"Carbureted hydrogen; also, a hydrocarbon."
Hydrochloride,"A compound of hydrochloric acid with a base; -- distinguished from a chloride, where only chlorine unites with the base."
Hydrometeorology,"That branch of meteorology which relates to, or treats of, water in the atmosphere, or its phenomena, as rain, clouds, snow, hail, storms, etc."
Hydromica,A variety of potash mica containing water. It is less elastic than ordinary muscovite.
Hyemation,The passing of a winter in a particular place; a wintering.
Hylophagous,"Eating green shoots, as certain insects do."
Hymning,The singing of hymns.
Hypapophysis,"A process, or other element, of a vertebra developed from the ventral side of the centrum, as haemal spines, and chevron bones."
Jack,A machine for twisting the sliver as it leaves the carding machine.
Jack,A machine for slicking or pebbling leather.
Jack,The wall-eyed pike.
Jackmen,of Jackman
Jaculable,Fit for throwing.
Jadery,The tricks of a jade.
Jaggery,"Raw palm sugar, made in the East Indies by evaporating the fresh juice of several kinds of palm trees, but specifically that of the palmyra (Borassus flabelliformis)."
Jak,see Ils Jack.
Jangler,An idle talker; a babbler; a prater.
Janthina,See Ianthina.
Jar,"The measure of what is contained in a jar; as, a jar of oil; a jar of preserves."
Jar,"In deep well boring, a device resembling two long chain links, for connecting a percussion drill to the rod or rope which works it, so that the drill is driven down by impact and is jerked loose when jammed."
Jedding ax,"A stone mason's tool, having a flat face and a pointed part."
Jemmy,A baked sheep's head.
Jerk,"To give a quick and suddenly arrested thrust, push, pull, or twist, to; to yerk; as, to jerk one with the elbow; to jerk a coat off."
Jerk,"To make a sudden motion; to move with a start, or by starts."
Jerkin,A male gyrfalcon.
Jesuitry,Jesuitism; subtle argument.
Jingling,"The act or process of producing a jingle; also, the sound itself; a chink."
Jointer,A tool for pointing the joints in brickwork.
Jubilation,A triumphant shouting; rejoicing; exultation.
Judicial,"Belonging to the judiciary, as distinguished from legislative, administrative, or executive. See Executive."
Judiciary,"Of or pertaining to courts of judicature, or legal tribunals; judicial; as, a judiciary proceeding."
Jug,To commit to jail; to imprison.
Jugal,"Pertaining to, or in the region of, the malar, or cheek bone."
Juglandine,An alkaloid found in the leaves of the walnut (Juglans regia).
Jumble,To meet or unite in a confused way; to mix confusedly.
Jump,"To cause to jump; as, he jumped his horse across the ditch."
